codigo,mensaje 1,mensaje 2,mensaje 3,mensaje 4,mensaje 5,mensaje 6
a1,EL DICTAMEN VALE 22600,SINPE AL 60023618,"Me envía la foto del depósito, foto de la cita, foto de la cédula y el siguiente formulario lleno con sus datos","💡💡💡DICTAMEN DE LICENCIAS 💡💡💡

🩸1) Nombre completo:

🩸2) Cédula:

🩸3) Edad:

🩸4) Estado civil:

🩸5) Ocupación:

🩸6) Provincia, cantón, dirección:

🩸7) Número de WhatsApp:

🩸8) Correo:

🩸9) Estatura:

🩸10) Peso:

🩸11) Mano dominante:

🩸12) Toma algún medicamento?

🩸13) Padece de alguna enfermedad ?

🩸14) Desea el dictamen para licencia A o B o todas:?

🩸15) Usa anteojos permanentes?:

🩸16) Autoriza ser donador en caso de accidente (si o no):

🩸17) Toma licor o fuma activamente:

🩸18) Nacionalidad:

🩸19) Tiene algún tipo de discapacidad auditiva ? Si la respuesta es SI, indicar en qué oído utiliza audífonos:

🩸20) Presenta algún tipo de discapacidad ? Si la respuesta es SI indicar lo sucedido ? Y desde hace cuánto tiempo lo presenta?:

🩸21) Lo necesita renovar, hacer prueba de manejo o para permiso de conducir?:

👩 ⚕Asesor: ENRIQUE GUZMÁN 👩 ⚕",record=a2=7200,reporte=contestaron al mensaje de dictamen de licencias
a1_1,EL DICTAMEN VALE 22600,SINPE AL 61103205,"Me envía la foto del depósito, foto de la cita, foto de la cédula y el siguiente formulario lleno con sus datos","💡💡💡DICTAMEN DE LICENCIAS 💡💡💡

🩸1) Nombre completo:

🩸2) Cédula:

🩸3) Edad:

🩸4) Estado civil:

🩸5) Ocupación:

🩸6) Provincia, cantón, dirección:

🩸7) Número de WhatsApp:

🩸8) Correo:

🩸9) Estatura:

🩸10) Peso:

🩸11) Mano dominante:

🩸12) Toma algún medicamento?

🩸13) Padece de alguna enfermedad ?

🩸14) Desea el dictamen para licencia A o B o todas:?

🩸15) Usa anteojos permanentes?:

🩸16) Autoriza ser donador en caso de accidente (si o no):

🩸17) Toma licor o fuma activamente:

🩸18) Nacionalidad:

🩸19) Tiene algún tipo de discapacidad auditiva ? Si la respuesta es SI, indicar en qué oído utiliza audífonos:

🩸20) Presenta algún tipo de discapacidad ? Si la respuesta es SI indicar lo sucedido ? Y desde hace cuánto tiempo lo presenta?:

🩸21) Lo necesita renovar, hacer prueba de manejo o para permiso de conducir?:

👩 ⚕Asesor: ENRIQUE GUZMÁN 👩 ⚕",record=a2=7200,reporte=contestaron al mensaje de dictamen de licencias
a2,"📌Hola!!!

No me envió el formulario con los datos y la información que ocupo para gestionar su dictamen",reporte=respondieron recordatorio sobre dictamen,,,,
b1,"Hola!!!

Ofrecemos el servicio de clases de manejo personalizadas. Las clases las ocupas en Liberia???",record=b4=7200,,,,
b2,"Excelente!!!

Acá le envío el precio de los paquetes disponibles y el
enlace a nuestra agenda para reservar su espacio","💡💡💡 Contamos con 3 opciones para la contratación de clases de manejo.

✒ Clase individual: la hora de clase de manejo vale 15 mil.
Se paga la totalidad al inicio de la lección

✒Paquete de 5 horas: el valor de este paquete es de 70 mil colones.
Se paga la mitad (35 mil colones) al inicio de la primera lección y el restante (los otros 35 mil colones) al inicio de la tercera lección

✒ Paquete de 10 horas: el valor de este paquete es de 130 mil colones.
Se paga la mitad (65 mil colones) al inicio de la primera lección y el resto (los otros 65 mil colones) al inicio de la quinta lección.

Por favor utilice este enlace para agendar su clase de
manejo en Liberia

https://calendly.com/clasesdemanejo/clases",record=b3=7200,reporte=contestaron al mensaje de clases de manejo,,
b3,"📌 Hola!!!

Pudo llenar el formulario para agendar su clase???",reporte=respondieron recordatorio sobre clase de manejo,,,,
b4,"📌 Hola!!!

Dime en cual sede ocupas tus clases",,,,,
b5,"🛡🛡🛡 Contamos con 3 opciones para la contratación de clases de manejo.

✒ Clase individual: la hora de clase de manejo vale 15650.
🎯 Se reserva con 5650 y el resto del dinero se paga en efectivo el día de la preparación
🎯 Sinpe al 60023618

✒Paquete de 5 horas: el valor de este paquete es de 72600 colones.
🎯 Se reserva con 22600 colones
🎯 Se paga 20 mil colones al inicio de la primera lección y el restante (los otros 30 mil colones) al inicio de la tercera lección.
🎯 Sinpe al 60023618

✒ Paquete de 10 horas: el valor de este paquete es de 133900 colones.
🎯 Se reserva con 33900 colones
🎯 Se paga 40 mil colones al inicio de la primera lección y el resto (los otros 60 mil colones) al inicio de la quinta lección.
🎯 Sinpe al 60023618","Me envía la foto del depósito para coordinar la
atención",record=b6=7200,reporte=contestaron al ultimo mensaje de clases de manejo,,
b6,"📌 Hola!!!

Envíeme la foto del depósito para poder coordinarle la enseñanza de manejo",reporte=respondieron recordatorio de clase de manejo,,,,
c1,"Hola!!!

Gracias por tu mensaje

Mi nombre es Enrique Guzmán y estaré pendiente de su proceso de obtención de licencias",Ya tiene el teórico ganado???,record=c2=7200,,,
